Length,PreviousLength,InterArrivalTime,Type,Predict
141,444,0.407138,Null,Null
141,444,0.407143,Null,Null
264,444,0.407227,Null,Null
338,264,0.002223,Finished,Null
123,264,0.002225,Null,Null
92,264,0.002225,Null,Null
338,264,0.002672,Finished,Null
123,264,0.002673,Null,Null
92,123,0.000212000000005,Null,Null
92,92,4.2999999998e-05,Null,Null
92,92,0.000351999999999,Null,Null
298,92,0.004559,Null,Finished
441,92,0.004792,Null,Null
223,92,0.004792,Null,Null
184,92,0.005029,Null,Null
100,92,0.005029,Null,Null
100,184,0.000295000000001,Null,Finished
171,92,0.182766,Null,Null
283,92,0.183683,Null,Null
143,92,0.184499,Null,Null
1514,143,0.003295,Null,Null
1435,143,0.004702,Null,Null
1514,143,0.004942,Null,Null
1514,143,0.006133,Null,Null
1514,143,0.007618,Null,Null
1514,143,0.008779,Null,Null
1514,143,0.010176,Null,Null
1514,143,0.011778,Null,Null
1514,143,0.013398,Null,Null
143,1514,0.000754999999998,Null,Null
260,0,-1.0,ClientHello,ClientHello
1514,143,0.000497000000003,Null,Null
260,0,-1.0,ClientHello,ClientHello
260,0,-1.0,ClientHello,ClientHello
260,0,-1.0,ClientHello,ClientHello
147,1514,0.001106,Null,Null
1514,147,0.000630000000001,Null,Null
1514,147,0.00188199999999,Null,Null
144,1514,0.000225,Null,Null
1514,144,0.001262,Null,Null
1484,260,0.004109,Null,Null
1321,260,0.004403,ServerHelloDone,Null
148,1514,0.000917000000001,Null,Null
636,148,0.000375999999996,Null,Null
1484,260,0.004905,Null,Null
1320,260,0.005169,ServerHelloDone,Null
1484,260,0.005399,Null,Null
1319,260,0.005653,ServerHelloDone,Null
144,636,0.000778000000004,Null,Null
148,636,0.00208,Null,Null
1514,148,0.001395,Null,Null
1514,148,0.003002,Null,Null
1514,148,0.00438,Null,Null
1514,148,0.006009,Null,Null
1514,148,0.00623,Null,Null
1514,148,0.00740500000001,Null,Null
143,1514,2.49999999937e-05,Null,Null
1514,143,0.001565,Null,Null
144,1514,0.000544000000005,Null,Null
1514,144,0.000878999999998,Null,Null
1514,144,0.001334,Null,Null
144,1514,0.000425,Null,Null
1514,144,0.000990000000002,Null,Null
1514,144,0.002429,Null,Null
1514,144,0.003783,Null,Null
1514,144,0.004207,Null,Null
1514,144,0.005591,Null,Null
1514,144,0.006985,Null,Null
1514,144,0.008498,Null,Null
1514,144,0.008976,Null,Null
1514,144,0.010823,Null,Null
1514,144,0.012219,Null,Null
1514,144,0.013781,Null,Null
1514,144,0.014219,Null,Null
1514,144,0.015634,Null,Null
1514,144,0.017092,Null,Null
1514,144,0.018494,Null,Null
1514,144,0.018943,Null,Null
1514,144,0.020517,Null,Null
1514,144,0.02192,Null,Null
1514,144,0.023225,Null,Null
1354,144,0.023929,Null,Null
145,1354,0.005603,Null,Null
158,1354,0.006926,Null,Null
1484,260,0.050627,Null,Null
144,1354,0.008422,Null,Null
1320,260,0.050872,ServerHelloDone,Null
143,1354,0.0097,Null,Null
1514,143,0.000225999999998,Null,Null
1375,143,0.001959,Null,Null
1514,143,0.002178,Null,Null
153,1514,0.000363,Null,Null
1514,153,0.001158,Null,Null
152,1514,0.000826000000004,Null,Null
1514,152,0.000728000000002,Null,Null
1514,152,0.000965000000001,Null,Null
1041,152,0.001889,Null,Null
1514,152,0.002302,Null,Null
152,1514,8.79999999981e-05,Null,Null
539,152,0.001151,Null,Null
92,152,0.001151,Null,Null
1185,152,0.001384,Null,Null
92,152,0.001387,Null,Null
662,152,0.002007,Null,Null
92,152,0.002007,Null,Null
154,662,0.000672000000002,Null,Null
1514,154,0.001887,Null,Null
1496,154,0.003368,Null,Null
1514,154,0.003371,Null,Null
